id_venta,fecha,producto,categoria,cantidad,precio_unit,descuento_pct,descuento_s,total,vendedor,region,canal,metodo_pago
1,2024-03-12,Impresora Epson EcoTank,Impresoras,2,580.0,10,116.0,1044.0,Carlos Ríos,Arequipa,Tienda física,Tarjeta débito
2,2024-04-21,Tablet Samsung Tab S8,Tablets,2,1850.0,0,0.0,3700.0,Jorge Díaz,Lima Norte,Tienda física,Efectivo
3,2024-01-04,"Monitor Dell 32"" 4K",Monitores,7,1950.0,15,2047.5,11602.5,María Flores,Piura,E-commerce,Tarjeta crédito
4,2024-02-17,Mouse Razer DeathAdder,Periféricos,5,180.0,5,45.0,855.0,Luis Vega,Lima Centro,Tienda física,Efectivo
5,2024-07-12,Impresora HP LaserJet,Impresoras,5,750.0,0,0.0,3750.0,Carlos Ríos,Piura,E-commerce,Efectivo
6,2024-04-26,Impresora HP LaserJet,Impresoras,6,750.0,15,675.0,3825.0,María Flores,Lima Sur,Tienda física,Cuotas
7,2024-07-05,Teclado Logitech MX,Periféricos,2,320.0,0,0.0,640.0,Jorge Díaz,Arequipa,E-commerce,Cuotas
8,2024-07-13,Teclado Mecánico HyperX,Periféricos,2,280.0,0,0.0,560.0,Luis Vega,Lima Centro,Tienda física,Tarjeta crédito
9,2024-06-10,Tablet Samsung Tab S8,Tablets,4,1850.0,5,370.0,7030.0,Elena Cruz,Lima Norte,Tienda física,Efectivo
10,2024-08-22,iPad Air,Tablets,6,2999.0,0,0.0,17994.0,María Flores,Piura,E-commerce,Cuotas
11,2024-03-11,Tablet Samsung Tab S8,Tablets,5,1850.0,5,462.5,8787.5,Jorge Díaz,Trujillo,Tienda física,Tarjeta débito
12,2024-07-16,MacBook Air M2,Computadoras,3,5999.0,5,899.85,17097.15,Luis Vega,Trujillo,E-commerce,Efectivo
13,2024-02-27,Teclado Mecánico HyperX,Periféricos,1,280.0,0,0.0,280.0,Ana Torres,Arequipa,Corporativo,Tarjeta crédito
14,2024-11-23,UPS APC 1000VA,Energía,5,480.0,5,120.0,2280.0,Luis Vega,Lima Sur,Corporativo,Tarjeta crédito
15,2024-02-27,Laptop Asus VivoBook,Computadoras,3,2350.0,0,0.0,7050.0,Carlos Ríos,Cusco,E-commerce,Efectivo
16,2024-02-13,Mouse Logitech MX Master,Periféricos,4,220.0,10,88.0,792.0,Carlos Ríos,Lima Centro,E-commerce,Efectivo
17,2024-05-15,Laptop Asus VivoBook,Computadoras,3,2350.0,5,352.5,6697.5,Luis Vega,Piura,E-commerce,Tarjeta débito
18,2024-07-10,"Monitor Dell 32"" 4K",Monitores,4,1950.0,5,390.0,7410.0,Pedro Salas,Trujillo,Corporativo,Cuotas
19,2024-10-10,Teclado Logitech MX,Periféricos,4,320.0,0,0.0,1280.0,,Cusco,Tienda física,Transferencia
20,2024-02-06,Switch Cisco 8 puertos,Redes,1,420.0,5,21.0,399.0,María Flores,Lima Sur,Tienda física,Tarjeta crédito
21,2024-04-07,"Monitor Dell 32"" 4K",Monitores,3,1950.0,0,0.0,5850.0,Sofía Puma,Lima Centro,E-commerce,Tarjeta crédito
22,2024-11-26,Webcam Logitech C920,Periféricos,7,350.0,0,0.0,2450.0,Sofía Puma,Lima Norte,Corporativo,Cuotas
23,2024-03-12,MacBook Air M2,Computadoras,4,5999.0,5,1199.8,22796.2,María Flores,Lima Centro,E-commerce,Tarjeta crédito
24,2024-01-08,Laptop Lenovo IdeaPad,Computadoras,8,2199.0,0,0.0,17592.0,Ana Torres,Lima Norte,Corporativo,Transferencia
25,2024-01-31,"Monitor Samsung 27""",Monitores,7,1150.0,0,0.0,8050.0,Sofía Puma,Piura,Tienda física,Tarjeta crédito
26,2024-10-11,Teclado Mecánico HyperX,Periféricos,8,280.0,10,224.0,2016.0,Pedro Salas,Trujillo,Corporativo,Cuotas
27,2024-01-30,Mouse Logitech MX Master,Periféricos,4,220.0,0,0.0,880.0,Carlos Ríos,Lima Norte,Corporativo,Tarjeta crédito
28,2024-10-31,Disco Externo Seagate 2TB,Almacenamiento,3,280.0,0,0.0,840.0,Carlos Ríos,Lima Sur,Tienda física,Efectivo
29,2024-10-25,MacBook Air M2,Computadoras,4,5999.0,5,1199.8,22796.2,Carlos Ríos,Lima Sur,E-commerce,Cuotas
30,2024-12-09,"Monitor Dell 32"" 4K",Monitores,6,1950.0,10,1170.0,10530.0,María Flores,Arequipa,E-commerce,Tarjeta débito
31,2024-02-21,Laptop Asus VivoBook,Computadoras,2,2350.0,0,0.0,4700.0,Carlos Ríos,Piura,E-commerce,Transferencia
32,2024-03-21,"Monitor LG 24""",Monitores,6,850.0,5,255.0,4845.0,Ana Torres,Lima Centro,Tienda física,Tarjeta crédito
33,2024-02-29,Impresora HP LaserJet,Impresoras,1,750.0,0,0.0,750.0,Pedro Salas,Lima Sur,Tienda física,Tarjeta crédito
34,2024-05-15,Mouse Logitech MX Master,Periféricos,4,220.0,5,44.0,836.0,Elena Cruz,Lima Centro,Corporativo,Cuotas
35,2024-06-19,Laptop Dell Inspiron,Computadoras,2,2899.0,15,869.7,4928.3,Jorge Díaz,Arequipa,Tienda física,Efectivo
36,2024-12-19,"Monitor Samsung 27""",Monitores,8,1150.0,0,0.0,9200.0,Jorge Díaz,Lima Norte,Tienda física,Efectivo
37,2024-07-05,iPad Air,Tablets,3,2999.0,15,1349.55,7647.45,Jorge Díaz,Lima Este,Tienda física,Tarjeta crédito
38,2024-07-27,Auriculares Sony WH-1000,Audio,4,650.0,5,130.0,2470.0,María Flores,Lima Sur,Tienda física,Transferencia
39,2024-06-19,Teclado Logitech MX,Periféricos,3,320.0,15,144.0,816.0,Luis Vega,Trujillo,Tienda física,Tarjeta débito
40,2024-07-14,UPS APC 1000VA,Energía,4,480.0,15,288.0,1632.0,Pedro Salas,Lima Este,Corporativo,Efectivo
41,2024-01-13,"Monitor Dell 32"" 4K",Monitores,8,1950.0,10,1560.0,14040.0,Elena Cruz,Arequipa,Tienda física,Tarjeta débito
42,2024-06-18,Laptop Lenovo IdeaPad,Computadoras,5,2199.0,0,0.0,10995.0,Elena Cruz,Trujillo,Corporativo,Transferencia
43,2024-06-25,"Monitor Samsung 27""",Monitores,5,1150.0,10,575.0,5175.0,Carlos Ríos,Lima Sur,E-commerce,Tarjeta crédito
44,2024-12-28,Disco Externo Seagate 2TB,Almacenamiento,2,280.0,5,28.0,532.0,Jorge Díaz,Lima Centro,Tienda física,
45,2024-06-18,Tablet Samsung Tab S8,Tablets,4,1850.0,5,370.0,7030.0,Elena Cruz,Trujillo,Tienda física,Cuotas
46,2024-12-22,UPS APC 1000VA,Energía,5,480.0,0,0.0,2400.0,Pedro Salas,Trujillo,Tienda física,Tarjeta crédito
47,2024-01-01,Router TP-Link AX3000,Redes,7,350.0,0,0.0,2450.0,Luis Vega,Arequipa,E-commerce,Transferencia
48,2024-04-19,iPad Air,Tablets,6,2999.0,5,899.7,17094.3,Sofía Puma,Piura,E-commerce,Cuotas
49,2024-11-20,UPS APC 1000VA,Energía,3,480.0,5,72.0,1368.0,Ana Torres,Arequipa,E-commerce,Cuotas
50,2024-01-13,Laptop Asus VivoBook,Computadoras,4,2350.0,0,0.0,9400.0,Pedro Salas,Lima Centro,Tienda física,Tarjeta débito
51,2024-04-09,Laptop Asus VivoBook,Computadoras,2,2350.0,10,470.0,4230.0,Sofía Puma,Trujillo,Corporativo,Transferencia
52,2024-03-31,Teclado Logitech MX,Periféricos,3,320.0,15,144.0,816.0,Carlos Ríos,Lima Sur,E-commerce,Tarjeta débito
53,2024-12-07,Laptop Dell Inspiron,Computadoras,4,2899.0,5,579.8,11016.2,Ana Torres,Piura,Tienda física,Tarjeta crédito
54,2024-08-31,Laptop Asus VivoBook,Computadoras,8,2350.0,5,940.0,17860.0,Jorge Díaz,Piura,Tienda física,Cuotas
55,2024-02-09,Impresora Epson EcoTank,Impresoras,5,580.0,10,290.0,2610.0,Sofía Puma,Lima Centro,Tienda física,Tarjeta crédito
56,2024-12-21,Mouse Razer DeathAdder,Periféricos,2,180.0,0,0.0,360.0,Luis Vega,Lima Este,Tienda física,Tarjeta crédito
57,2024-08-03,Webcam Logitech C920,Periféricos,6,350.0,5,105.0,1995.0,Sofía Puma,Trujillo,Tienda física,Tarjeta débito
